"GEO_ID","NAME","B01001B_001E","B01001B_001M","B01001B_002E","B01001B_002M","B01001B_003E","B01001B_003M","B01001B_004E","B01001B_004M","B01001B_005E","B01001B_005M","B01001B_006E","B01001B_006M","B01001B_007E","B01001B_007M","B01001B_008E","B01001B_008M","B01001B_009E","B01001B_009M","B01001B_010E","B01001B_010M","B01001B_011E","B01001B_011M","B01001B_012E","B01001B_012M","B01001B_013E","B01001B_013M","B01001B_014E","B01001B_014M","B01001B_015E","B01001B_015M","B01001B_016E","B01001B_016M","B01001B_017E","B01001B_017M","B01001B_018E","B01001B_018M","B01001B_019E","B01001B_019M","B01001B_020E","B01001B_020M","B01001B_021E","B01001B_021M","B01001B_022E","B01001B_022M","B01001B_023E","B01001B_023M","B01001B_024E","B01001B_024M","B01001B_025E","B01001B_025M","B01001B_026E","B01001B_026M","B01001B_027E","B01001B_027M","B01001B_028E","B01001B_028M","B01001B_029E","B01001B_029M","B01001B_030E","B01001B_030M","B01001B_031E","B01001B_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"1400000US37063000600","Census Tract 6, Durham County, North Carolina","1071","330","564","231","20","30","0","17","17","28","17","27","0","17","63","96","8","19","33","52","86","77","59","53","195","134","23","28","31","52","12","19","507","239","72","109","16","27","0","17","0","17","0","17","56","85","70","110","30","43","0","17","142","106","56","50","47","45","18","28","0","17"
"1400000US37063001304","Census Tract 13.04, Durham County, North Carolina","2263","428","1017","199","83","69","112","74","75","58","109","68","13","20","0","12","55","70","33","39","64","40","133","86","212","92","93","46","35","28","0","12","1246","300","56","55","123","79","54","43","40","47","93","82","64","56","67","66","97","69","125","69","169","80","119","52","149","62","68","52","22","25"
"1400000US37063001710","Census Tract 17.10, Durham County, North Carolina","2195","416","946","228","68","79","179","89","111","58","49","51","0","12","61","72","62","67","66","61","117","71","141","73","70","49","22","19","0","12","0","12","1249","283","142","84","129","93","56","56","66","73","67","68","96","89","85","79","126","71","104","66","190","96","117","58","62","58","0","12","9","16"
"1400000US37063001711","Census Tract 17.11, Durham County, North Carolina","2198","387","813","261","118","96","48","57","33","43","12","19","43","64","34","51","154","142","101","69","75","74","147","75","41","35","7","12","0","12","0","12","1385","291","68","65","95","82","63","63","24","41","0","12","115","68","282","173","81","62","259","123","191","91","105","62","83","55","9","13","10","16"
"1400000US37063001801","Census Tract 18.01, Durham County, North Carolina","3678","600","1818","490","266","165","151","124","40","35","81","99","89","131","159","155","148","144","94","91","218","105","276","149","159","111","137","110","0","17","0","17","1860","253","174","116","32","39","133","124","0","17","27","47","17","27","245","139","130","107","322","146","240","109","378","116","135","79","12","20","15","24"
"1400000US37063001900","Census Tract 19, Durham County, North Carolina","422","94","163","43","8","13","41","31","0","12","0","12","0","12","0","12","0","12","13","21","38","35","37","37","0","12","26","22","0","12","0","12","259","89","0","12","0","12","0","12","0","12","0","12","0","12","0","12","56","43","101","65","18","28","36","33","48","39","0","12","0","12"
"1400000US37063002007","Census Tract 20.07, Durham County, North Carolina","1458","345","849","207","50","76","0","12","0","12","88","93","55","81","37","56","59","93","57","68","78","74","125","106","144","98","128","59","28","31","0","12","609","200","0","12","95","104","29","48","0","12","0","12","12","24","56","87","37","59","0","12","161","91","102","82","111","76","0","12","6","6"
"1400000US37063000101","Census Tract 1.01, Durham County, North Carolina","1522","298","587","138","0","12","42","53","79","77","25","41","0","12","75","71","32","40","58","60","39","50","97","83","53","51","72","43","8","16","7","11","935","244","33","30","24","30","67","71","86","110","68","99","8","14","29","39","120","98","74","74","206","79","95","55","36","36","66","45","23","34"
"1400000US37063000102","Census Tract 1.02, Durham County, North Carolina","1408","258","607","191","18","29","56","69","45","66","11","15","58","70","73","68","55","63","0","12","89","78","94","65","35","45","51","52","22","21","0","12","801","176","29","33","0","12","64","63","0","12","48","75","79","57","30","36","10","16","44","60","233","106","154","100","34","29","38","31","38","38"
"1400000US37063001802","Census Tract 18.02, Durham County, North Carolina","4382","812","1731","421","141","146","115","101","136","117","71","52","69","99","108","81","83","94","23","40","269","158","478","181","124","71","102","85","12","20","0","17","2651","521","137","99","132","107","268","149","29","38","143","98","193","120","285","183","372","149","120","71","468","144","305","147","138","80","61","69","0","17"
"1400000US37063002015","Census Tract 20.15, Durham County, North Carolina","1179","331","565","240","43","71","0","17","49","80","2","6","28","40","76","95","89","137","22","36","65","76","83","103","71","81","26","34","11","24","0","17","614","274","0","17","43","71","90","106","20","34","26","41","11","18","79","76","99","73","79","65","151","107","16","26","0","17","0","17","0","17"
"1400000US37063000500","Census Tract 5, Durham County, North Carolina","2093","537","1039","357","102","105","158","76","122","76","0","12","74","62","96","88","51","51","40","35","60","42","72","54","210","83","54","31","0","12","0","12","1054","253","10","18","83","65","44","48","54","56","55","48","91","68","82","67","224","105","67","63","104","61","107","61","31","35","69","55","33","28"
"1400000US37063001100","Census Tract 11, Durham County, North Carolina","2000","464","1037","232","70","59","89","68","72","52","32","37","40","45","44","43","69","52","16","21","101","60","153","74","161","73","172","63","18","21","0","12","963","289","50","49","122","128","50","36","29","32","0","12","22","28","128","85","73","46","110","79","134","64","89","50","125","60","19","22","12","17"
"1400000US37063001400","Census Tract 14, Durham County, North Carolina","2141","415","898","386","215","183","338","190","15","25","0","12","0","12","10","16","1","2","1","2","59","53","73","55","116","71","36","30","5","8","29","29","1243","264","68","78","177","128","72","70","19","27","29","49","148","106","205","120","42","49","73","70","115","59","182","79","33","26","24","23","56","37"
"1400000US37063001502","Census Tract 15.02, Durham County, North Carolina","1767","398","759","244","0","17","37","59","60","60","18","27","1","4","149","111","87","85","150","94","68","63","67","81","49","43","62","56","11","23","0","17","1008","311","54","49","42","56","84","76","0","17","0","17","149","100","133","95","44","68","189","103","123","91","22","37","55","59","113","91","0","17"
"1400000US37063001708","Census Tract 17.08, Durham County, North Carolina","3437","352","1462","203","43","48","127","63","125","84","97","67","59","56","72","77","62","60","26","28","233","96","275","102","132","66","174","52","27","24","10","16","1975","257","50","64","69","61","269","115","62","52","84","75","106","73","48","60","89","63","412","117","266","77","226","75","210","65","51","42","33","32"
"1400000US37063002009","Census Tract 20.09, Durham County, North Carolina","3430","426","1592","278","145","139","51","45","74","78","65","67","45","51","53","43","146","83","92","66","166","82","241","99","244","88","132","58","81","47","57","39","1838","217","34","42","10","16","79","67","52","43","52","60","61","42","51","41","61","66","218","101","204","83","434","98","277","78","188","66","117","60"
"1400000US37063000200","Census Tract 2, Durham County, North Carolina","913","248","410","134","0","12","0","12","0","12","0","12","9","20","92","70","4","8","83","76","33","41","81","59","71","70","30","39","7","14","0","12","503","182","39","57","0","12","43","45","70","53","0","12","77","50","30","43","26","30","34","44","65","48","91","71","10","16","18","21","0","12"
"1400000US37063001604","Census Tract 16.04, Durham County, North Carolina","1030","308","377","97","37","48","6","16","0","17","56","39","20","33","2","7","0","17","0","17","14","34","107","52","37","38","98","70","0","17","0","17","653","254","0","17","0","17","6","16","12","20","50","63","36","46","0","17","0","17","29","43","121","73","85","61","231","135","15","25","68","77"
"1400000US37063001706","Census Tract 17.06, Durham County, North Carolina","1289","416","615","276","95","84","31","48","0","17","0","17","0","17","69","78","90","94","41","61","111","100","87","90","36","45","55","48","0","17","0","17","674","278","0","17","36","53","0","17","86","112","0","17","102","97","116","111","96","92","76","92","66","72","67","59","29","44","0","17","0","17"
"1400000US37063001707","Census Tract 17.07, Durham County, North Carolina","456","158","227","132","0","17","48","70","0","17","0","17","0","17","0","17","0","17","0","17","21","25","0","17","56","69","96","62","6","12","0","17","229","54","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","12","17","139","73","32","49","46","51","0","17"
"1400000US37063002016","Census Tract 20.16, Durham County, North Carolina","1498","511","808","294","27","55","16","27","17","30","83","78","0","17","131","95","110","126","16","27","278","131","23","31","107","93","0","17","0","17","0","17","690","263","32","42","0","17","85","81","20","35","0","17","144","102","104","94","47","47","48","40","172","108","38","46","0","17","0","17","0","17"
"1400000US37063001001","Census Tract 10.01, Durham County, North Carolina","2626","498","1238","269","19","25","41","48","17","21","185","122","59","88","10","18","119","97","63","66","114","70","287","112","215","101","58","54","27","33","24","29","1388","363","52","54","67","52","69","71","126","88","88","92","86","68","30","48","78","64","228","76","157","80","214","86","101","53","83","69","9","17"
"1400000US37063001002","Census Tract 10.02, Durham County, North Carolina","2413","500","847","277","158","145","35","57","14","25","0","17","0","17","42","50","20","36","90","111","99","105","246","147","75","69","29","29","13","22","26","42","1566","345","92","92","76","91","142","156","31","56","0","17","83","81","279","183","52","66","14","23","261","134","344","138","140","86","52","51","0","17"
"1400000US37063001301","Census Tract 13.01, Durham County, North Carolina","1279","240","581","133","18","22","19","20","74","45","43","35","0","12","82","50","46","38","16","25","59","40","126","59","58","35","23","18","17","15","0","12","698","144","62","65","20","19","9","12","0","12","41","42","89","50","57","45","65","43","44","35","98","45","113","48","55","35","40","20","5","7"
