"GEO_ID","id",
"NAME","Geographic Area Name",
"B01001C_001E","Estimate!!Total",
"B01001C_001M","Margin of Error!!Total",
"B01001C_002E","Estimate!!Total!!Male",
"B01001C_002M","Margin of Error!!Total!!Male",
"B01001C_003E","Estimate!!Total!!Male!!Under 5 years",
"B01001C_003M","Margin of Error!!Total!!Male!!Under 5 years",
"B01001C_004E","Estimate!!Total!!Male!!5 to 9 years",
"B01001C_004M","Margin of Error!!Total!!Male!!5 to 9 years",
"B01001C_005E","Estimate!!Total!!Male!!10 to 14 years",
"B01001C_005M","Margin of Error!!Total!!Male!!10 to 14 years",
"B01001C_006E","Estimate!!Total!!Male!!15 to 17 years",
"B01001C_006M","Margin of Error!!Total!!Male!!15 to 17 years",
"B01001C_007E","Estimate!!Total!!Male!!18 and 19 years",
"B01001C_007M","Margin of Error!!Total!!Male!!18 and 19 years",
"B01001C_008E","Estimate!!Total!!Male!!20 to 24 years",
"B01001C_008M","Margin of Error!!Total!!Male!!20 to 24 years",
"B01001C_009E","Estimate!!Total!!Male!!25 to 29 years",
"B01001C_009M","Margin of Error!!Total!!Male!!25 to 29 years",
"B01001C_010E","Estimate!!Total!!Male!!30 to 34 years",
"B01001C_010M","Margin of Error!!Total!!Male!!30 to 34 years",
"B01001C_011E","Estimate!!Total!!Male!!35 to 44 years",
"B01001C_011M","Margin of Error!!Total!!Male!!35 to 44 years",
"B01001C_012E","Estimate!!Total!!Male!!45 to 54 years",
"B01001C_012M","Margin of Error!!Total!!Male!!45 to 54 years",
"B01001C_013E","Estimate!!Total!!Male!!55 to 64 years",
"B01001C_013M","Margin of Error!!Total!!Male!!55 to 64 years",
"B01001C_014E","Estimate!!Total!!Male!!65 to 74 years",
"B01001C_014M","Margin of Error!!Total!!Male!!65 to 74 years",
"B01001C_015E","Estimate!!Total!!Male!!75 to 84 years",
"B01001C_015M","Margin of Error!!Total!!Male!!75 to 84 years",
"B01001C_016E","Estimate!!Total!!Male!!85 years and over",
"B01001C_016M","Margin of Error!!Total!!Male!!85 years and over",
"B01001C_017E","Estimate!!Total!!Female",
"B01001C_017M","Margin of Error!!Total!!Female",
"B01001C_018E","Estimate!!Total!!Female!!Under 5 years",
"B01001C_018M","Margin of Error!!Total!!Female!!Under 5 years",
"B01001C_019E","Estimate!!Total!!Female!!5 to 9 years",
"B01001C_019M","Margin of Error!!Total!!Female!!5 to 9 years",
"B01001C_020E","Estimate!!Total!!Female!!10 to 14 years",
"B01001C_020M","Margin of Error!!Total!!Female!!10 to 14 years",
"B01001C_021E","Estimate!!Total!!Female!!15 to 17 years",
"B01001C_021M","Margin of Error!!Total!!Female!!15 to 17 years",
"B01001C_022E","Estimate!!Total!!Female!!18 and 19 years",
"B01001C_022M","Margin of Error!!Total!!Female!!18 and 19 years",
"B01001C_023E","Estimate!!Total!!Female!!20 to 24 years",
"B01001C_023M","Margin of Error!!Total!!Female!!20 to 24 years",
"B01001C_024E","Estimate!!Total!!Female!!25 to 29 years",
"B01001C_024M","Margin of Error!!Total!!Female!!25 to 29 years",
"B01001C_025E","Estimate!!Total!!Female!!30 to 34 years",
"B01001C_025M","Margin of Error!!Total!!Female!!30 to 34 years",
"B01001C_026E","Estimate!!Total!!Female!!35 to 44 years",
"B01001C_026M","Margin of Error!!Total!!Female!!35 to 44 years",
"B01001C_027E","Estimate!!Total!!Female!!45 to 54 years",
"B01001C_027M","Margin of Error!!Total!!Female!!45 to 54 years",
"B01001C_028E","Estimate!!Total!!Female!!55 to 64 years",
"B01001C_028M","Margin of Error!!Total!!Female!!55 to 64 years",
"B01001C_029E","Estimate!!Total!!Female!!65 to 74 years",
"B01001C_029M","Margin of Error!!Total!!Female!!65 to 74 years",
"B01001C_030E","Estimate!!Total!!Female!!75 to 84 years",
"B01001C_030M","Margin of Error!!Total!!Female!!75 to 84 years",
"B01001C_031E","Estimate!!Total!!Female!!85 years and over",
"B01001C_031M","Margin of Error!!Total!!Female!!85 years and over",
