"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"1400000US37063000600","Census Tract 6, Durham County, North Carolina","151","126","75","68","0","17","10","19","25","28","0","17","0","17","0","17","0","17","11","18","0","17","18","22","0","17","0","17","11","17","0","17","76","65","0","17","11","22","29","35","0","17","0","17","0","17","0","17","0","17","22","37","0","17","0","17","14","24","0","17","0","17"
"1400000US37063001304","Census Tract 13.04, Durham County, North Carolina","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US37063001710","Census Tract 17.10, Durham County, North Carolina","163","126","75","81","0","12","0","12","0","12","0","12","0","12","0","12","9","15","16","24","0","12","9","15","25","43","16","25","0","12","0","12","88","56","0","12","0","12","0","12","0","12","0","12","0","12","0","12","35","33","0","12","14","20","19","32","20","35","0","12","0","12"
"1400000US37063001711","Census Tract 17.11, Durham County, North Carolina","127","148","50","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","35","0","12","0","12","28","44","0","12","0","12","77","94","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","23","27","40","0","12","0","12","35","51","0","12","0","12"
"1400000US37063001801","Census Tract 18.01, Durham County, North Carolina","23","39","11","20","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","11","20","0","17","0","17","12","19","0","17","0","17","0","17","1","3","0","17","0","17","0","17","0","17","11","18","0","17","0","17","0","17","0","17","0","17"
"1400000US37063001900","Census Tract 19, Durham County, North Carolina","224","111","82","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","32","34","20","24","17","29","13","22","0","12","0","12","142","77","0","12","0","12","0","12","0","12","0","12","0","12","50","44","0","12","11","17","36","40","14","21","31","36","0","12","0","12"
"1400000US37063002007","Census Tract 20.07, Durham County, North Carolina","37","51","15","28","0","12","0","12","0","12","0","12","0","12","8","15","0","12","0","12","0","12","7","13","0","12","0","12","0","12","0","12","22","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","23","9","16","0","12","0","12","0","12","0","12"
"1400000US37063000101","Census Tract 1.01, Durham County, North Carolina","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US37063000102","Census Tract 1.02, Durham County, North Carolina","119","91","29","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","20","0","12","8","13","0","12","0","12","8","14","0","12","90","71","9","15","17","26","0","12","0","12","0","12","11","17","25","29","0","12","18","21","0","12","0","12","10","19","0","12","0","12"
