"GEO_ID","id",
"NAME","Geographic Area Name",
"B01001E_001E","Estimate!!Total",
"B01001E_001M","Margin of Error!!Total",
"B01001E_002E","Estimate!!Total!!Male",
"B01001E_002M","Margin of Error!!Total!!Male",
"B01001E_003E","Estimate!!Total!!Male!!Under 5 years",
"B01001E_003M","Margin of Error!!Total!!Male!!Under 5 years",
"B01001E_004E","Estimate!!Total!!Male!!5 to 9 years",
"B01001E_004M","Margin of Error!!Total!!Male!!5 to 9 years",
"B01001E_005E","Estimate!!Total!!Male!!10 to 14 years",
"B01001E_005M","Margin of Error!!Total!!Male!!10 to 14 years",
"B01001E_006E","Estimate!!Total!!Male!!15 to 17 years",
"B01001E_006M","Margin of Error!!Total!!Male!!15 to 17 years",
"B01001E_007E","Estimate!!Total!!Male!!18 and 19 years",
"B01001E_007M","Margin of Error!!Total!!Male!!18 and 19 years",
"B01001E_008E","Estimate!!Total!!Male!!20 to 24 years",
"B01001E_008M","Margin of Error!!Total!!Male!!20 to 24 years",
"B01001E_009E","Estimate!!Total!!Male!!25 to 29 years",
"B01001E_009M","Margin of Error!!Total!!Male!!25 to 29 years",
"B01001E_010E","Estimate!!Total!!Male!!30 to 34 years",
"B01001E_010M","Margin of Error!!Total!!Male!!30 to 34 years",
"B01001E_011E","Estimate!!Total!!Male!!35 to 44 years",
"B01001E_011M","Margin of Error!!Total!!Male!!35 to 44 years",
"B01001E_012E","Estimate!!Total!!Male!!45 to 54 years",
"B01001E_012M","Margin of Error!!Total!!Male!!45 to 54 years",
"B01001E_013E","Estimate!!Total!!Male!!55 to 64 years",
"B01001E_013M","Margin of Error!!Total!!Male!!55 to 64 years",
"B01001E_014E","Estimate!!Total!!Male!!65 to 74 years",
"B01001E_014M","Margin of Error!!Total!!Male!!65 to 74 years",
"B01001E_015E","Estimate!!Total!!Male!!75 to 84 years",
"B01001E_015M","Margin of Error!!Total!!Male!!75 to 84 years",
"B01001E_016E","Estimate!!Total!!Male!!85 years and over",
"B01001E_016M","Margin of Error!!Total!!Male!!85 years and over",
"B01001E_017E","Estimate!!Total!!Female",
"B01001E_017M","Margin of Error!!Total!!Female",
"B01001E_018E","Estimate!!Total!!Female!!Under 5 years",
"B01001E_018M","Margin of Error!!Total!!Female!!Under 5 years",
"B01001E_019E","Estimate!!Total!!Female!!5 to 9 years",
"B01001E_019M","Margin of Error!!Total!!Female!!5 to 9 years",
"B01001E_020E","Estimate!!Total!!Female!!10 to 14 years",
"B01001E_020M","Margin of Error!!Total!!Female!!10 to 14 years",
"B01001E_021E","Estimate!!Total!!Female!!15 to 17 years",
"B01001E_021M","Margin of Error!!Total!!Female!!15 to 17 years",
"B01001E_022E","Estimate!!Total!!Female!!18 and 19 years",
"B01001E_022M","Margin of Error!!Total!!Female!!18 and 19 years",
"B01001E_023E","Estimate!!Total!!Female!!20 to 24 years",
"B01001E_023M","Margin of Error!!Total!!Female!!20 to 24 years",
"B01001E_024E","Estimate!!Total!!Female!!25 to 29 years",
"B01001E_024M","Margin of Error!!Total!!Female!!25 to 29 years",
"B01001E_025E","Estimate!!Total!!Female!!30 to 34 years",
"B01001E_025M","Margin of Error!!Total!!Female!!30 to 34 years",
"B01001E_026E","Estimate!!Total!!Female!!35 to 44 years",
"B01001E_026M","Margin of Error!!Total!!Female!!35 to 44 years",
"B01001E_027E","Estimate!!Total!!Female!!45 to 54 years",
"B01001E_027M","Margin of Error!!Total!!Female!!45 to 54 years",
"B01001E_028E","Estimate!!Total!!Female!!55 to 64 years",
"B01001E_028M","Margin of Error!!Total!!Female!!55 to 64 years",
"B01001E_029E","Estimate!!Total!!Female!!65 to 74 years",
"B01001E_029M","Margin of Error!!Total!!Female!!65 to 74 years",
"B01001E_030E","Estimate!!Total!!Female!!75 to 84 years",
"B01001E_030M","Margin of Error!!Total!!Female!!75 to 84 years",
"B01001E_031E","Estimate!!Total!!Female!!85 years and over",
"B01001E_031M","Margin of Error!!Total!!Female!!85 years and over",
