"GEO_ID","NAME","B01001G_029E","B01001G_029M","B01001G_030E","B01001G_030M","B01001G_031E","B01001G_031M","B01001G_001E","B01001G_001M","B01001G_002E","B01001G_002M","B01001G_003E","B01001G_003M","B01001G_004E","B01001G_004M","B01001G_005E","B01001G_005M","B01001G_006E","B01001G_006M","B01001G_007E","B01001G_007M","B01001G_008E","B01001G_008M","B01001G_009E","B01001G_009M","B01001G_010E","B01001G_010M","B01001G_011E","B01001G_011M","B01001G_012E","B01001G_012M","B01001G_013E","B01001G_013M","B01001G_014E","B01001G_014M","B01001G_015E","B01001G_015M","B01001G_016E","B01001G_016M","B01001G_017E","B01001G_017M","B01001G_018E","B01001G_018M","B01001G_019E","B01001G_019M","B01001G_020E","B01001G_020M","B01001G_021E","B01001G_021M","B01001G_022E","B01001G_022M","B01001G_023E","B01001G_023M","B01001G_024E","B01001G_024M","B01001G_025E","B01001G_025M","B01001G_026E","B01001G_026M","B01001G_027E","B01001G_027M","B01001G_028E","B01001G_028M"
"id","Geographic Area Name","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years"
"1400000US37063000600","Census Tract 6, Durham County, North Carolina","0","17","0","17","0","17","339","208","110","100","17","28","59","66","0","17","0","17","20","38","0","17","9","20","0","17","0","17","5","11","0","17","0","17","0","17","0","17","229","136","46","69","10","22","47","65","0","17","19","40","58","83","0","17","0","17","22","33","11","20","16","25"
"1400000US37063001304","Census Tract 13.04, Durham County, North Carolina","0","12","0","12","0","12","415","341","233","176","111","137","37","48","0","12","0","12","0","12","63","62","0","12","22","34","0","12","0","12","0","12","0","12","0","12","0","12","182","168","0","12","36","46","0","12","0","12","51","68","28","27","42","55","0","12","0","12","25","24","0","12"
"1400000US37063001710","Census Tract 17.10, Durham County, North Carolina","0","12","0","12","0","12","76","54","15","25","15","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","61","48","0","12","10","16","0","12","0","12","0","12","8","12","0","12","0","12","23","35","10","18","10","15"
"1400000US37063001711","Census Tract 17.11, Durham County, North Carolina","0","12","0","12","0","12","90","72","44","50","0","12","0","12","0","12","0","12","0","12","27","33","9","16","0","12","0","12","3","6","5","12","0","12","0","12","0","12","46","37","0","12","0","12","11","19","0","12","0","12","0","12","17","27","0","12","0","12","12","20","6","11"
"1400000US37063001801","Census Tract 18.01, Durham County, North Carolina","0","17","0","17","0","17","32","36","20","29","0","17","0","17","3","11","0","17","0","17","0","17","17","28","0","17","0","17","0","17","0","17","0","17","0","17","0","17","12","19","0","17","3","8","0","17","0","17","0","17","0","17","0","17","0","17","9","19","0","17","0","17"
"1400000US37063001900","Census Tract 19, Durham County, North Carolina","0","12","0","12","0","12","136","107","52","46","7","15","9","15","9","16","0","12","0","12","0","12","22","33","0","12","0","12","0","12","5","8","0","12","0","12","0","12","84","70","15","29","0","12","0","12","0","12","15","25","0","12","0","12","17","27","8","15","29","33","0","12"
"1400000US37063002007","Census Tract 20.07, Durham County, North Carolina","0","12","0","12","0","12","50","62","37","55","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","55","0","12","0","12","0","12","0","12","0","12","13","23","0","12","13","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US37063000101","Census Tract 1.01, Durham County, North Carolina","0","12","0","12","0","12","7","14","7","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","9","3","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US37063000102","Census Tract 1.02, Durham County, North Carolina","0","12","0","12","0","12","152","82","51","38","0","12","0","12","10","15","0","12","15","19","0","12","0","12","11","20","0","12","15","25","0","12","0","12","0","12","0","12","101","69","0","12","9","14","9","14","11","17","0","12","9","15","31","50","0","12","22","24","10","15","0","12"
"1400000US37063001802","Census Tract 18.02, Durham County, North Carolina","0","17","0","17","0","17","362","296","166","154","19","30","34","54","0","17","1","3","0","17","34","54","0","17","29","48","43","52","0","17","6","10","0","17","0","17","0","17","196","180","36","57","0","17","33","51","30","49","27","43","37","58","0","17","33","52","0","17","0","17","0","17"
"1400000US37063002015","Census Tract 20.15, Durham County, North Carolina","0","17","0","17","0","17","141","139","44","56","21","37","10","19","0","17","0","17","0","17","0","17","1","2","0","17","12","25","0","17","0","17","0","17","0","17","0","17","97","111","70","101","0","17","27","43","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"1400000US37063000500","Census Tract 5, Durham County, North Carolina","0","12","5","11","0","12","127","60","52","40","0","12","0","12","0","12","0","12","24","25","24","27","4","10","0","12","0","12","0","12","0","12","0","12","0","12","0","12","75","49","0","12","0","12","0","12","0","12","0","12","38","37","10","17","0","12","17","22","5","9","0","12"
"1400000US37063001100","Census Tract 11, Durham County, North Carolina","0","12","0","12","0","12","6","10","4","8","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","8","0","12","0","12","0","12","0","12","2","6","0","12","0","12","0","12","0","12","0","12","2","6","0","12","0","12","0","12","0","12","0","12"
"1400000US37063001400","Census Tract 14, Durham County, North Carolina","0","12","0","12","0","12","33","47","7","20","0","12","0","12","0","12","0","12","0","12","4","11","3","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","26","38","22","37","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","12","0","12"
"1400000US37063001502","Census Tract 15.02, Durham County, North Carolina","0","17","0","17","0","17","208","159","98","92","0","17","4","12","5","12","10","23","0","17","48","58","6","10","4","11","8","17","0","17","0","17","0","17","0","17","13","25","110","92","32","51","5","14","7","15","0","17","10","22","15","23","9","14","25","35","7","16","0","17","0","17"
"1400000US37063001708","Census Tract 17.08, Durham County, North Carolina","0","17","12","18","0","17","80","66","15","19","0","17","0","17","0","17","8","13","0","17","0","17","0","17","0","17","0","17","0","17","7","12","0","17","0","17","0","17","65","56","13","24","9","14","0","17","0","17","0","17","0","17","0","17","16","19","0","17","0","17","15","23"
"1400000US37063002009","Census Tract 20.09, Durham County, North Carolina","0","12","6","12","0","12","235","162","100","71","51","56","9","17","0","12","0","12","17","27","10","16","13","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","135","99","48","45","45","43","0","12","0","12","0","12","0","12","13","23","0","12","0","12","15","23","8","16"
"1400000US37063000200","Census Tract 2, Durham County, North Carolina","0","12","0","12","0","12","27","36","25","36","0","12","0","12","15","29","0","12","0","12","0","12","0","12","0","12","7","13","3","8","0","12","0","12","0","12","0","12","2","4","0","12","0","12","1","2","1","2","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US37063001604","Census Tract 16.04, Durham County, North Carolina","0","17","0","17","0","17","180","132","115","78","18","29","14","22","16","26","0","17","26","41","0","17","0","17","0","17","0","17","21","29","5","9","15","24","0","17","0","17","65","68","14","23","17","28","0","17","0","17","0","17","0","17","0","17","0","17","19","32","15","23","0","17"
"1400000US37063001706","Census Tract 17.06, Durham County, North Carolina","0","17","0","17","0","17","274","210","185","155","27","45","44","51","0","17","0","17","38","62","53","62","0","17","0","17","23","37","0","17","0","17","0","17","0","17","0","17","89","77","7","12","39","58","0","17","0","17","0","17","0","17","0","17","14","26","29","47","0","17","0","17"
