"GEO_ID","NAME","B01001H_001E","B01001H_001M","B01001H_002E","B01001H_002M","B01001H_003E","B01001H_003M","B01001H_004E","B01001H_004M","B01001H_005E","B01001H_005M","B01001H_006E","B01001H_006M","B01001H_007E","B01001H_007M","B01001H_008E","B01001H_008M","B01001H_009E","B01001H_009M","B01001H_010E","B01001H_010M","B01001H_011E","B01001H_011M","B01001H_012E","B01001H_012M","B01001H_013E","B01001H_013M","B01001H_014E","B01001H_014M","B01001H_015E","B01001H_015M","B01001H_016E","B01001H_016M","B01001H_017E","B01001H_017M","B01001H_018E","B01001H_018M","B01001H_019E","B01001H_019M","B01001H_020E","B01001H_020M","B01001H_021E","B01001H_021M","B01001H_022E","B01001H_022M","B01001H_023E","B01001H_023M","B01001H_024E","B01001H_024M","B01001H_025E","B01001H_025M","B01001H_026E","B01001H_026M","B01001H_027E","B01001H_027M","B01001H_028E","B01001H_028M","B01001H_029E","B01001H_029M","B01001H_030E","B01001H_030M","B01001H_031E","B01001H_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"1400000US37063000600","Census Tract 6, Durham County, North Carolina","2955","399","1731","337","95","78","18","29","66","83","26","25","25","39","62","44","176","194","359","144","264","109","265","96","228","120","119","54","16","21","12","22","1224","185","37","40","15","23","16","25","15","27","21","35","56","47","82","58","256","77","183","102","216","80","172","82","128","60","16","24","11","17"
"1400000US37063001304","Census Tract 13.04, Durham County, North Carolina","42","43","24","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","0","12","14","30","0","12","0","12","0","12","0","12","18","29","0","12","0","12","0","12","0","12","0","12","9","14","0","12","9","16","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US37063001710","Census Tract 17.10, Durham County, North Carolina","1353","242","625","145","73","73","54","54","21","34","11","17","0","12","0","12","98","74","88","51","86","59","42","32","84","48","23","24","33","28","12","17","728","150","0","12","19","25","38","60","9","14","16","25","10","16","96","76","26","29","110","71","82","64","175","72","63","38","43","28","41","31"
"1400000US37063001711","Census Tract 17.11, Durham County, North Carolina","1028","146","496","94","27","29","0","12","25","25","0","12","0","12","8","15","61","46","21","34","45","31","103","55","114","57","55","28","28","22","9","15","532","101","0","12","22","22","0","12","0","12","0","12","7","11","36","34","44","39","69","41","85","46","100","59","95","34","47","31","27","26"
"1400000US37063001801","Census Tract 18.01, Durham County, North Carolina","2234","321","1000","232","92","68","84","71","41","41","12","18","0","17","41","40","134","97","57","46","48","51","130","94","178","82","71","46","84","47","28","36","1234","279","106","135","62","57","31","33","24","34","0","17","0","17","21","32","273","140","98","96","100","73","231","117","123","71","114","61","51","48"
"1400000US37063001900","Census Tract 19, Durham County, North Carolina","3201","280","1521","178","100","68","60","39","61","54","0","12","0","12","41","24","125","61","75","47","203","68","137","52","255","67","301","70","137","53","26","27","1680","178","106","63","36","28","78","52","0","12","37","30","42","32","146","50","99","53","181","69","125","54","384","82","306","69","124","36","16","23"
"1400000US37063002007","Census Tract 20.07, Durham County, North Carolina","3176","491","1639","314","59","85","32","47","144","113","29","45","0","12","116","110","98","60","60","57","243","114","166","68","279","142","344","148","48","45","21","24","1537","260","55","72","51","40","21","34","55","68","15","23","19","30","112","78","66","66","215","102","262","105","225","95","338","162","39","44","64","56"
"1400000US37063000101","Census Tract 1.01, Durham County, North Carolina","1046","167","515","119","52","50","0","12","1","15","2","12","46","54","5","9","40","31","89","54","105","52","51","39","83","57","24","23","17","15","0","12","531","92","26","25","24","25","0","12","0","12","27","31","18","22","58","39","115","55","70","51","40","35","87","46","55","35","7","9","4","7"
"1400000US37063000102","Census Tract 1.02, Durham County, North Carolina","1576","229","840","183","27","30","0","12","11","18","3","3","39","45","5","8","151","116","205","85","144","75","94","54","112","65","28","25","14","17","7","11","736","140","25","39","0","12","25","29","0","12","0","12","24","22","76","40","121","59","112","56","95","51","47","35","75","37","54","45","82","46"
