"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"1400000US37063000600","Census Tract 6, Durham County, North Carolina","1026","289","483","178","41","29","17","26","52","59","39","57","0","17","22","23","131","104","58","59","12","21","111","88","0","17","0","17","0","17","0","17","543","219","65","101","62","78","49","57","20","21","0","17","91","90","44","68","10","17","21","22","90","75","91","130","0","17","0","17","0","17"
"1400000US37063001304","Census Tract 13.04, Durham County, North Carolina","506","274","251","137","47","50","19","32","36","47","19","27","0","12","0","12","30","32","0","12","26","29","38","49","36","55","0","12","0","12","0","12","255","160","12","19","17","25","46","42","28","29","34","37","0","12","0","12","61","37","30","33","0","12","27","41","0","12","0","12","0","12"
"1400000US37063001710","Census Tract 17.10, Durham County, North Carolina","737","213","364","104","84","41","84","71","5","14","5","11","0","12","17","25","0","12","24","32","88","61","40","41","7","12","10","19","0","12","0","12","373","121","49","63","55","45","14","21","0","12","16","22","26","38","25","35","53","41","21","29","84","79","30","40","0","12","0","12","0","12"
"1400000US37063001711","Census Tract 17.11, Durham County, North Carolina","1030","338","575","206","47","52","84","79","59","58","58","51","0","12","22","36","32","31","24","29","144","74","81","77","20","33","4","11","0","12","0","12","455","189","58","55","115","73","68","56","0","12","0","12","0","12","47","41","45","40","119","79","0","12","3","8","0","12","0","12","0","12"
"1400000US37063001801","Census Tract 18.01, Durham County, North Carolina","2320","785","1402","525","141","133","48","47","251","208","65","98","39","61","116","100","136","106","73","60","140","99","235","166","17","28","141","100","0","17","0","17","918","407","97","121","183","170","86","133","17","26","0","17","36","61","78","94","19","25","211","140","168","134","12","20","2","8","8","14","1","6"
"1400000US37063001900","Census Tract 19, Durham County, North Carolina","145","80","63","57","19","30","0","12","10","16","0","12","0","12","0","12","0","12","17","21","17","18","0","12","0","12","0","12","0","12","0","12","82","50","0","12","0","12","0","12","0","12","0","12","0","12","8","12","10","16","9","15","55","51","0","12","0","12","0","12","0","12"
"1400000US37063002007","Census Tract 20.07, Durham County, North Carolina","194","188","66","71","0","12","24","35","0","12","0","12","0","12","0","12","0","12","0","12","18","27","0","12","24","38","0","12","0","12","0","12","128","121","0","12","18","27","18","27","1","8","0","12","21","33","0","12","13","19","0","12","0","12","23","36","20","34","14","22","0","12"
"1400000US37063000101","Census Tract 1.01, Durham County, North Carolina","540","256","296","183","108","119","106","58","14","24","0","12","0","12","0","12","0","12","47","32","21","34","0","12","0","12","0","12","0","12","0","12","244","101","0","12","51","46","60","44","30","35","0","12","0","12","5","11","52","34","16","29","25","34","0","12","0","12","5","10","0","12"
"1400000US37063000102","Census Tract 1.02, Durham County, North Carolina","1321","501","792","307","91","114","110","88","53","69","7","12","51","56","72","58","46","54","21","34","182","107","145","117","14","23","0","12","0","12","0","12","529","267","131","128","42","51","27","28","46","67","18","28","0","12","41","43","28","37","123","98","52","60","0","12","11","20","0","12","10","16"
