"GEO_ID","id",
"NAME","Geographic Area Name",
"B01001I_001E","Estimate!!Total",
"B01001I_001M","Margin of Error!!Total",
"B01001I_002E","Estimate!!Total!!Male",
"B01001I_002M","Margin of Error!!Total!!Male",
"B01001I_003E","Estimate!!Total!!Male!!Under 5 years",
"B01001I_003M","Margin of Error!!Total!!Male!!Under 5 years",
"B01001I_004E","Estimate!!Total!!Male!!5 to 9 years",
"B01001I_004M","Margin of Error!!Total!!Male!!5 to 9 years",
"B01001I_005E","Estimate!!Total!!Male!!10 to 14 years",
"B01001I_005M","Margin of Error!!Total!!Male!!10 to 14 years",
"B01001I_006E","Estimate!!Total!!Male!!15 to 17 years",
"B01001I_006M","Margin of Error!!Total!!Male!!15 to 17 years",
"B01001I_007E","Estimate!!Total!!Male!!18 and 19 years",
"B01001I_007M","Margin of Error!!Total!!Male!!18 and 19 years",
"B01001I_008E","Estimate!!Total!!Male!!20 to 24 years",
"B01001I_008M","Margin of Error!!Total!!Male!!20 to 24 years",
"B01001I_009E","Estimate!!Total!!Male!!25 to 29 years",
"B01001I_009M","Margin of Error!!Total!!Male!!25 to 29 years",
"B01001I_010E","Estimate!!Total!!Male!!30 to 34 years",
"B01001I_010M","Margin of Error!!Total!!Male!!30 to 34 years",
"B01001I_011E","Estimate!!Total!!Male!!35 to 44 years",
"B01001I_011M","Margin of Error!!Total!!Male!!35 to 44 years",
"B01001I_012E","Estimate!!Total!!Male!!45 to 54 years",
"B01001I_012M","Margin of Error!!Total!!Male!!45 to 54 years",
"B01001I_013E","Estimate!!Total!!Male!!55 to 64 years",
"B01001I_013M","Margin of Error!!Total!!Male!!55 to 64 years",
"B01001I_014E","Estimate!!Total!!Male!!65 to 74 years",
"B01001I_014M","Margin of Error!!Total!!Male!!65 to 74 years",
"B01001I_015E","Estimate!!Total!!Male!!75 to 84 years",
"B01001I_015M","Margin of Error!!Total!!Male!!75 to 84 years",
"B01001I_016E","Estimate!!Total!!Male!!85 years and over",
"B01001I_016M","Margin of Error!!Total!!Male!!85 years and over",
"B01001I_017E","Estimate!!Total!!Female",
"B01001I_017M","Margin of Error!!Total!!Female",
"B01001I_018E","Estimate!!Total!!Female!!Under 5 years",
"B01001I_018M","Margin of Error!!Total!!Female!!Under 5 years",
"B01001I_019E","Estimate!!Total!!Female!!5 to 9 years",
"B01001I_019M","Margin of Error!!Total!!Female!!5 to 9 years",
"B01001I_020E","Estimate!!Total!!Female!!10 to 14 years",
"B01001I_020M","Margin of Error!!Total!!Female!!10 to 14 years",
"B01001I_021E","Estimate!!Total!!Female!!15 to 17 years",
"B01001I_021M","Margin of Error!!Total!!Female!!15 to 17 years",
"B01001I_022E","Estimate!!Total!!Female!!18 and 19 years",
"B01001I_022M","Margin of Error!!Total!!Female!!18 and 19 years",
"B01001I_023E","Estimate!!Total!!Female!!20 to 24 years",
"B01001I_023M","Margin of Error!!Total!!Female!!20 to 24 years",
"B01001I_024E","Estimate!!Total!!Female!!25 to 29 years",
"B01001I_024M","Margin of Error!!Total!!Female!!25 to 29 years",
"B01001I_025E","Estimate!!Total!!Female!!30 to 34 years",
"B01001I_025M","Margin of Error!!Total!!Female!!30 to 34 years",
"B01001I_026E","Estimate!!Total!!Female!!35 to 44 years",
"B01001I_026M","Margin of Error!!Total!!Female!!35 to 44 years",
"B01001I_027E","Estimate!!Total!!Female!!45 to 54 years",
"B01001I_027M","Margin of Error!!Total!!Female!!45 to 54 years",
"B01001I_028E","Estimate!!Total!!Female!!55 to 64 years",
"B01001I_028M","Margin of Error!!Total!!Female!!55 to 64 years",
"B01001I_029E","Estimate!!Total!!Female!!65 to 74 years",
"B01001I_029M","Margin of Error!!Total!!Female!!65 to 74 years",
"B01001I_030E","Estimate!!Total!!Female!!75 to 84 years",
"B01001I_030M","Margin of Error!!Total!!Female!!75 to 84 years",
"B01001I_031E","Estimate!!Total!!Female!!85 years and over",
"B01001I_031M","Margin of Error!!Total!!Female!!85 years and over",
