"GEO_ID","id"
"NAME","Geographic Area Name"
"P012A001","Total"
"P012A002","Total!!Male"
"P012A003","Total!!Male!!Under 5 years"
"P012A004","Total!!Male!!5 to 9 years"
"P012A005","Total!!Male!!10 to 14 years"
"P012A006","Total!!Male!!15 to 17 years"
"P012A007","Total!!Male!!18 and 19 years"
"P012A008","Total!!Male!!20 years"
"P012A009","Total!!Male!!21 years"
"P012A010","Total!!Male!!22 to 24 years"
"P012A011","Total!!Male!!25 to 29 years"
"P012A012","Total!!Male!!30 to 34 years"
"P012A013","Total!!Male!!35 to 39 years"
"P012A014","Total!!Male!!40 to 44 years"
"P012A015","Total!!Male!!45 to 49 years"
"P012A016","Total!!Male!!50 to 54 years"
"P012A017","Total!!Male!!55 to 59 years"
"P012A018","Total!!Male!!60 and 61 years"
"P012A019","Total!!Male!!62 to 64 years"
"P012A020","Total!!Male!!65 and 66 years"
"P012A021","Total!!Male!!67 to 69 years"
"P012A022","Total!!Male!!70 to 74 years"
"P012A023","Total!!Male!!75 to 79 years"
"P012A024","Total!!Male!!80 to 84 years"
"P012A025","Total!!Male!!85 years and over"
"P012A026","Total!!Female"
"P012A027","Total!!Female!!Under 5 years"
"P012A028","Total!!Female!!5 to 9 years"
"P012A029","Total!!Female!!10 to 14 years"
"P012A030","Total!!Female!!15 to 17 years"
"P012A031","Total!!Female!!18 and 19 years"
"P012A032","Total!!Female!!20 years"
"P012A033","Total!!Female!!21 years"
"P012A034","Total!!Female!!22 to 24 years"
"P012A035","Total!!Female!!25 to 29 years"
"P012A036","Total!!Female!!30 to 34 years"
"P012A037","Total!!Female!!35 to 39 years"
"P012A038","Total!!Female!!40 to 44 years"
"P012A039","Total!!Female!!45 to 49 years"
"P012A040","Total!!Female!!50 to 54 years"
"P012A041","Total!!Female!!55 to 59 years"
"P012A042","Total!!Female!!60 and 61 years"
"P012A043","Total!!Female!!62 to 64 years"
"P012A044","Total!!Female!!65 and 66 years"
"P012A045","Total!!Female!!67 to 69 years"
"P012A046","Total!!Female!!70 to 74 years"
"P012A047","Total!!Female!!75 to 79 years"
"P012A048","Total!!Female!!80 to 84 years"
"P012A049","Total!!Female!!85 years and over"
