"GEO_ID","id"
"NAME","Geographic Area Name"
"P012C001","Total"
"P012C002","Total!!Male"
"P012C003","Total!!Male!!Under 5 years"
"P012C004","Total!!Male!!5 to 9 years"
"P012C005","Total!!Male!!10 to 14 years"
"P012C006","Total!!Male!!15 to 17 years"
"P012C007","Total!!Male!!18 and 19 years"
"P012C008","Total!!Male!!20 years"
"P012C009","Total!!Male!!21 years"
"P012C010","Total!!Male!!22 to 24 years"
"P012C011","Total!!Male!!25 to 29 years"
"P012C012","Total!!Male!!30 to 34 years"
"P012C013","Total!!Male!!35 to 39 years"
"P012C014","Total!!Male!!40 to 44 years"
"P012C015","Total!!Male!!45 to 49 years"
"P012C016","Total!!Male!!50 to 54 years"
"P012C017","Total!!Male!!55 to 59 years"
"P012C018","Total!!Male!!60 and 61 years"
"P012C019","Total!!Male!!62 to 64 years"
"P012C020","Total!!Male!!65 and 66 years"
"P012C021","Total!!Male!!67 to 69 years"
"P012C022","Total!!Male!!70 to 74 years"
"P012C023","Total!!Male!!75 to 79 years"
"P012C024","Total!!Male!!80 to 84 years"
"P012C025","Total!!Male!!85 years and over"
"P012C026","Total!!Female"
"P012C027","Total!!Female!!Under 5 years"
"P012C028","Total!!Female!!5 to 9 years"
"P012C029","Total!!Female!!10 to 14 years"
"P012C030","Total!!Female!!15 to 17 years"
"P012C031","Total!!Female!!18 and 19 years"
"P012C032","Total!!Female!!20 years"
"P012C033","Total!!Female!!21 years"
"P012C034","Total!!Female!!22 to 24 years"
"P012C035","Total!!Female!!25 to 29 years"
"P012C036","Total!!Female!!30 to 34 years"
"P012C037","Total!!Female!!35 to 39 years"
"P012C038","Total!!Female!!40 to 44 years"
"P012C039","Total!!Female!!45 to 49 years"
"P012C040","Total!!Female!!50 to 54 years"
"P012C041","Total!!Female!!55 to 59 years"
"P012C042","Total!!Female!!60 and 61 years"
"P012C043","Total!!Female!!62 to 64 years"
"P012C044","Total!!Female!!65 and 66 years"
"P012C045","Total!!Female!!67 to 69 years"
"P012C046","Total!!Female!!70 to 74 years"
"P012C047","Total!!Female!!75 to 79 years"
"P012C048","Total!!Female!!80 to 84 years"
"P012C049","Total!!Female!!85 years and over"
