"GEO_ID","id"
"NAME","Geographic Area Name"
"P012G001","Total"
"P012G002","Total!!Male"
"P012G003","Total!!Male!!Under 5 years"
"P012G004","Total!!Male!!5 to 9 years"
"P012G005","Total!!Male!!10 to 14 years"
"P012G006","Total!!Male!!15 to 17 years"
"P012G007","Total!!Male!!18 and 19 years"
"P012G008","Total!!Male!!20 years"
"P012G009","Total!!Male!!21 years"
"P012G010","Total!!Male!!22 to 24 years"
"P012G011","Total!!Male!!25 to 29 years"
"P012G012","Total!!Male!!30 to 34 years"
"P012G013","Total!!Male!!35 to 39 years"
"P012G014","Total!!Male!!40 to 44 years"
"P012G015","Total!!Male!!45 to 49 years"
"P012G016","Total!!Male!!50 to 54 years"
"P012G017","Total!!Male!!55 to 59 years"
"P012G018","Total!!Male!!60 and 61 years"
"P012G019","Total!!Male!!62 to 64 years"
"P012G020","Total!!Male!!65 and 66 years"
"P012G021","Total!!Male!!67 to 69 years"
"P012G022","Total!!Male!!70 to 74 years"
"P012G023","Total!!Male!!75 to 79 years"
"P012G024","Total!!Male!!80 to 84 years"
"P012G025","Total!!Male!!85 years and over"
"P012G026","Total!!Female"
"P012G027","Total!!Female!!Under 5 years"
"P012G028","Total!!Female!!5 to 9 years"
"P012G029","Total!!Female!!10 to 14 years"
"P012G030","Total!!Female!!15 to 17 years"
"P012G031","Total!!Female!!18 and 19 years"
"P012G032","Total!!Female!!20 years"
"P012G033","Total!!Female!!21 years"
"P012G034","Total!!Female!!22 to 24 years"
"P012G035","Total!!Female!!25 to 29 years"
"P012G036","Total!!Female!!30 to 34 years"
"P012G037","Total!!Female!!35 to 39 years"
"P012G038","Total!!Female!!40 to 44 years"
"P012G039","Total!!Female!!45 to 49 years"
"P012G040","Total!!Female!!50 to 54 years"
"P012G041","Total!!Female!!55 to 59 years"
"P012G042","Total!!Female!!60 and 61 years"
"P012G043","Total!!Female!!62 to 64 years"
"P012G044","Total!!Female!!65 and 66 years"
"P012G045","Total!!Female!!67 to 69 years"
"P012G046","Total!!Female!!70 to 74 years"
"P012G047","Total!!Female!!75 to 79 years"
"P012G048","Total!!Female!!80 to 84 years"
"P012G049","Total!!Female!!85 years and over"
