"GEO_ID","id"
"NAME","Geographic Area Name"
"P012H001","Total"
"P012H002","Total!!Male"
"P012H003","Total!!Male!!Under 5 years"
"P012H004","Total!!Male!!5 to 9 years"
"P012H005","Total!!Male!!10 to 14 years"
"P012H006","Total!!Male!!15 to 17 years"
"P012H007","Total!!Male!!18 and 19 years"
"P012H008","Total!!Male!!20 years"
"P012H009","Total!!Male!!21 years"
"P012H010","Total!!Male!!22 to 24 years"
"P012H011","Total!!Male!!25 to 29 years"
"P012H012","Total!!Male!!30 to 34 years"
"P012H013","Total!!Male!!35 to 39 years"
"P012H014","Total!!Male!!40 to 44 years"
"P012H015","Total!!Male!!45 to 49 years"
"P012H016","Total!!Male!!50 to 54 years"
"P012H017","Total!!Male!!55 to 59 years"
"P012H018","Total!!Male!!60 and 61 years"
"P012H019","Total!!Male!!62 to 64 years"
"P012H020","Total!!Male!!65 and 66 years"
"P012H021","Total!!Male!!67 to 69 years"
"P012H022","Total!!Male!!70 to 74 years"
"P012H023","Total!!Male!!75 to 79 years"
"P012H024","Total!!Male!!80 to 84 years"
"P012H025","Total!!Male!!85 years and over"
"P012H026","Total!!Female"
"P012H027","Total!!Female!!Under 5 years"
"P012H028","Total!!Female!!5 to 9 years"
"P012H029","Total!!Female!!10 to 14 years"
"P012H030","Total!!Female!!15 to 17 years"
"P012H031","Total!!Female!!18 and 19 years"
"P012H032","Total!!Female!!20 years"
"P012H033","Total!!Female!!21 years"
"P012H034","Total!!Female!!22 to 24 years"
"P012H035","Total!!Female!!25 to 29 years"
"P012H036","Total!!Female!!30 to 34 years"
"P012H037","Total!!Female!!35 to 39 years"
"P012H038","Total!!Female!!40 to 44 years"
"P012H039","Total!!Female!!45 to 49 years"
"P012H040","Total!!Female!!50 to 54 years"
"P012H041","Total!!Female!!55 to 59 years"
"P012H042","Total!!Female!!60 and 61 years"
"P012H043","Total!!Female!!62 to 64 years"
"P012H044","Total!!Female!!65 and 66 years"
"P012H045","Total!!Female!!67 to 69 years"
"P012H046","Total!!Female!!70 to 74 years"
"P012H047","Total!!Female!!75 to 79 years"
"P012H048","Total!!Female!!80 to 84 years"
"P012H049","Total!!Female!!85 years and over"
