            White     Asian     Multi     Hispanic     Black  :=
370630001011              25   1   7   49   31
370630001012              22   0   9   34   126
370630001021              71   0   9   112   67
370630001022              37   2   5   36   45
370630002001              22   0   6   14   26
370630002002              15   0   3   35   34
370630002003              34   0   3   18   9
370630003011              10   2   0   23   37
370630003012              15   0   1   19   30
370630003013              27   1   4   22   12
370630003021              33   1   2   4   8
370630003022              33   1   4   51   13
370630003023              52   0   6   34   22
370630004011              26   1   4   17   13
370630004012              34   5   1   4   2
370630004013              27   2   3   3   1
370630004021              36   2   2   36   6
370630005001              1   0   0   0   5
370630005002              9   0   1   5   12
370630005003              8   5   2   59   67
370630005004              11   0   3   26   83
370630006001              43   1   13   39   74
370630006002              62   7   7   101   28
370630006003              25   6   0   2   1
370630007001              14   1   1   0   4
370630007002              56   1   3   6   10
370630007003              18   0   3   8   44
370630009001              8   0   6   40   36
370630009002              2   0   3   11   62
370630010011              3   0   1   16   53
370630010012              22   0   4   58   89
370630010013              9   0   4   48   100
370630010021              38   3   14   174   180
370630010022              22   0   1   32   35
370630010023              17   0   4   32   34
370630010024              46   0   7   100   40
370630011001              16   0   3   55   102
370630011002              6   0   1   20   76
370630013011              4   0   0   9   58
370630013031              2   0   3   14   44
370630013032              0   0   0   1   25
370630013041              4   0   5   40   209
370630014001              2   0   3   3   97
370630014002              5   0   11   20   177
370630015011              0   0   0   0   0
370630015021              36   0   10   98   57
370630015022              4   0   0   0   0
370630015023              9   23   4   30   44
370630015024              2   1   1   2   8
370630015031              0   0   1   2   5
370630016011              48   2   3   8   17
370630016012              133   11   16   18   94
370630016013              55   0   4   11   22
370630016031              35   0   0   5   7
370630016032              135   20   11   22   69
370630016033              41   5   6   8   8
370630016034              119   0   4   5   11
370630016041              114   8   8   16   13
370630016042              186   1   6   9   27
370630016043              82   11   7   16   43
370630017051              45   2   3   26   31
370630017052              37   6   8   11   22
370630017053              28   3   8   23   43
370630017061              77   9   6   10   35
370630017062              50   3   6   24   39
370630017071              43   1   4   12   6
370630017072              65   2   6   7   13
370630017073              30   0   1   3   3
370630017074              105   7   2   13   12
370630017075              52   7   2   5   1
370630017081              30   8   19   42   297
370630017091              3   0   1   16   78
370630017092              2   0   3   4   95
370630017093              37   0   27   66   314
370630017101              60   8   17   42   114
370630017102              27   4   21   98   73
370630017111              37   2   4   39   27
370630017112              8   0   2   48   90
370630017113              19   1   2   42   58
370630018011              26   0   11   38   124
370630018012              11   0   4   19   16
370630018013              61   0   5   63   155
370630018014              13   0   4   51   65
370630018015              22   0   4   18   5
370630018021              20   0   7   56   134
370630018022              13   2   6   62   93
370630018023              12   0   7   39   209
370630018024              10   2   2   29   37
370630018061              89   0   0   18   17
370630018062              60   2   17   73   283
370630018071              76   4   11   130   135
370630018072              53   2   13   28   223
370630018073              23   1   6   37   199
370630018081              59   1   7   17   87
370630018082              69   3   8   47   84
370630018091              35   3   17   39   102
370630018092              85   2   5   25   109
370630019001              41   4   1   6   0
370630019002              81   5   8   14   28
370630020071              52   0   2   10   31
370630020072              74   1   10   20   41
370630020073              14   1   3   3   18
370630020081              84   2   0   2   0
370630020082              151   8   5   11   13
370630020091              9   0   4   44   115
370630020092              6   0   1   20   73
370630020093              7   0   0   21   105
370630020131              59   0   4   20   48
370630020132              31   3   5   7   23
370630020133              101   14   8   32   43
370630020151              58   5   12   103   39
370630020152              27   6   11   56   57
370630020153              4   0   0   2   3
370630020161              63   6   15   138   56
370630020162              30   2   5   64   41
370630020171              153   11   12   7   11
370630020172              51   3   4   4   12
370630020173              150   14   10   12   9
370630020181              75   2   6   8   15
370630020182              56   6   5   16   18
370630020183              129   9   21   26   18
370630020191              46   3   4   9   25
370630020192              32   1   3   1   5
370630020193              57   2   1   2   6
370630020201              134   23   13   9   28
370630020202              168   26   20   15   102
370630020211              35   13   6   13   53
370630020212              20   19   6   14   92
370630020221              20   9   4   12   39
370630020222              70   7   11   30   51
370630020231              52   2   7   7   8
370630020232              57   3   2   4   17
370630020241              156   25   26   17   63
370630020242              20   0   2   1   5
370630020243              29   1   1   3   7
370630020251              49   31   5   20   72
370630020252              47   3   19   40   124
370630020253              38   1   8   28   54
370630020261              27   10   10   59   160
370630020262              32   1   10   76   147
370630020271              39   3   4   49   50
370630020272              58   34   24   30   167
370630020273              10   3   2   3   62
370630020281              71   13   9   16   74
370630020282              14   1   5   14   17
370630020283              17   8   2   6   58
370630021001              120   2   7   7   21
370630021002              125   5   6   9   23
370630021003              100   2   9   2   7
370630022001              13   0   10   18   47
370630023001              1   0   0   7   41
370630023002              1   0   0   10   5
370639801001              0   0   0   1   0
